science score,costs,programmatic risks
0.91456,10827,0.10714
0.98182,14120,0.11111
0.77215,6247.7,0
0.97541,13814,0.13889
0.72704,5602.8,0.058824
0.89732,10074,0.12
0.91467,11142,0.14815
0.88609,9428.4,0.11111
0.88364,9068.6,0.12
0.68804,5281.1,0.052632
0.67538,5023.3,0.0625
0.68257,5091.4,0.058824
0.62758,4274.6,0.125
0.89407,9946.2,0.11111
0.85414,8415.6,0.13043
0.83944,8164.3,0.08
0.6721,4713.7,0.055556
0.80452,6528.8,0.047619
0.75324,5833.4,0.05
0.81579,7317.8,0.083333
0.77901,6256.1,0.090909
0.85191,8316.3,0.125
0.83571,7555.3,0.13636
0.89152,9755,0.11111
0.90633,10331,0.11111
0.87296,8838.9,0.125
0.90819,10390,0.11538
0.86305,8551.2,0.125
0.91131,10598,0.15385
0.90009,10118,0.15385
0.91162,10719,0.15385
0.83638,8038.3,0.125
0.66639,4552.3,0.125
0.71198,5282.5,0.125
0.97358,13620,0.14286
0.97778,14000,0.11111
0.95107,11391,0.088235
0.97348,12583,0.083333
0.93833,11341,0.088235
0.95248,11416,0.088235
0.96761,11961,0.083333
0.96314,11711,0.088235
0.76336,6228.1,0
0.67434,4838.5,0
0.67886,5078.8,0
0.82376,7455.6,0.041667
0.84073,8191.8,0.038462
0.75491,6204.6,0.047619
0.71618,5366.6,0
0.98365,14755,0.13514
0.97412,13778,0.14286
0.73995,5618,0
0.72676,5473,0
0.71991,5452.6,0.10526
0.87541,8876.3,0.12
0.40227,3513.6,0.18182
0.48546,4197.5,0.15385
