Req Satisfaction Score,System Cost (M$),Program Risk,Launch Risk
0.4505,4983.5,0.41667,0.38774
0.46167,4966.7,0.33333,0.30246
0.47694,4984.7,0.41667,0.46013
0.50052,5066.1,0.53333,0.37486
0.49887,5008.1,0.6,0.33518
0.50659,5117.8,0.63333,0.35502
0.50052,5067.8,0.70833,0.42741
0.49612,5003.9,0.33333,0.28262
0.50659,5125,0.5,0.33518
0.47361,4996.7,0.5,0.33518
0.50659,5104.9,0.53333,0.33518
0.47326,4986.9,0.20833,0.31534
0.5022,4941.3,0.53333,0.33518
0.46463,4977.3,0.25,0.3679
0.48748,4991.6,0.5,0.35502
0.48748,4988.7,0.56667,0.33518
0.48748,4987.5,0.36667,0.35502
0.49612,5039.1,0.375,0.31534
0.49887,5037.9,0.5,0.35502
0.50052,5073.2,0.6,0.33518
0.50659,5137,0.53333,0.35502
0.50052,5073.2,0.6,0.33518
0.50659,5143.1,0.48333,0.38774
0.50659,5129.5,0.46667,0.35502
0.49887,5042.4,0.45833,0.42741
0.49647,5023.6,0.4375,0.4403
0.49887,5036.5,0.4,0.37486
0.48748,5020.5,0.43333,0.35502
0.48509,5014.7,0.4,0.37486
0.49373,4950.7,0.25,0.28262
0.5022,4961.5,0.1875,0.47302
