mass,reliability (number 9's)
7.6667,2.6023
9.6667,2.7214
12.333,2.999
14.333,3.3955
15.333,5.2046
17,5.3236
18.667,5.4881
17.333,5.3237
19,5.4883
21.667,5.9966
20,5.6013
22,5.9978
24.667,7.926
23,7.807
26.333,8.0904
28,8.3584
29.667,8.3586
25,7.926
26.667,8.0906
30,8.4226
32.667,8.4877
31,8.4874
33,8.5763
34,8.6719
34.333,8.6933
37.667,8.8166
36,8.8162
38,8.8908
39,8.9388
41,9.0406
42,9.1102
40.333,8.9685
42.333,9.1457
44,9.2712
45.667,9.2715
46,9.3573
48.667,9.387
47,9.3868
49,9.5028
50,9.5448
51.667,9.5449
53.667,9.7234
55.333,9.7235
52,9.7233
57,9.8039
58.667,9.804
60.333,9.8041
62,9.8506
63.667,9.8507
65.333,9.8508
68.667,9.8761
67,9.8761
70.333,9.8761
72,9.8761
