obj1,obj2,count lo
-0,-0,-10
-0.001,-1,-9
-0.0021544,-0.46416,-9
-0.0031544,-1.4642,-8
-0.0046416,-0.21544,-9
-0.0056416,-1.2154,-8
-0.006796,-0.6796,-8
-0.007796,-1.6796,-7
-0.01,-0.1,-9
-0.012154,-0.56416,-8
-0.013154,-1.5642,-7
-0.014642,-0.31544,-8
-0.015642,-1.3154,-7
-0.016796,-0.7796,-7
-0.017796,-1.7796,-6
-0.021544,-0.046416,-9
-0.026186,-0.26186,-8
-0.02834,-0.72602,-7
-0.02934,-1.726,-6
-0.031544,-0.14642,-8
-0.033699,-0.61057,-7
-0.034699,-1.6106,-6
-0.036186,-0.36186,-7
-0.037186,-1.3619,-6
-0.03834,-0.82602,-6
-0.03934,-1.826,-5
-0.046416,-0.021544,-9
-0.056416,-0.12154,-8
-0.061057,-0.33699,-7
-0.063212,-0.80115,-6
-0.064212,-1.8011,-5
-0.06796,-0.06796,-8
-0.072602,-0.2834,-7
-0.074756,-0.74756,-6
-0.075756,-1.7476,-5
-0.07796,-0.16796,-7
-0.080115,-0.63212,-6
-0.081115,-1.6321,-5
-0.082602,-0.3834,-6
-0.083602,-1.3834,-5
-0.084756,-0.84756,-5
-0.085756,-1.8476,-4
-0.1,-0.01,-9
-0.12154,-0.056416,-8
-0.13154,-0.15642,-7
-0.13619,-0.37186,-6
-0.13834,-0.83602,-5
-0.13934,-1.836,-4
-0.14642,-0.031544,-8
-0.15642,-0.13154,-7
-0.16106,-0.34699,-6
-0.16321,-0.81115,-5
-0.16421,-1.8111,-4
-0.16796,-0.07796,-7
-0.1726,-0.2934,-6
-0.17476,-0.75756,-5
-0.17576,-1.7576,-4
-0.17796,-0.17796,-6
-0.18011,-0.64212,-5
-0.18111,-1.6421,-4
-0.1826,-0.3934,-5
-0.1836,-1.3934,-4
-0.18476,-0.85756,-4
-0.18576,-1.8576,-3
-0.21544,-0.0046416,-9
-0.26186,-0.026186,-8
-0.2834,-0.072602,-7
-0.2934,-0.1726,-6
-0.29805,-0.38805,-5
-0.3002,-0.8522,-4
-0.3012,-1.8522,-3
-0.31544,-0.014642,-8
-0.33699,-0.061057,-7
-0.34699,-0.16106,-6
-0.35163,-0.3765,-5
-0.35378,-0.84066,-4
-0.35478,-1.8407,-3
-0.36186,-0.036186,-7
-0.37186,-0.13619,-6
-0.3765,-0.35163,-5
-0.37866,-0.81579,-4
-0.37966,-1.8158,-3
-0.3834,-0.082602,-6
-0.38805,-0.29805,-5
-0.3902,-0.7622,-4
-0.3912,-1.7622,-3
-0.3934,-0.1826,-5
-0.39556,-0.64676,-4
-0.39656,-1.6468,-3
-0.39805,-0.39805,-4
-0.39905,-1.398,-3
-0.4002,-0.8622,-3
-0.4012,-1.8622,-2
-0.46416,-0.0021544,-9
-0.56416,-0.012154,-8
-0.61057,-0.033699,-7
-0.63212,-0.080115,-6
-0.64212,-0.18011,-5
-0.64676,-0.39556,-4
-0.64892,-0.85972,-3
-0.64992,-1.8597,-2
-0.6796,-0.006796,-8
-0.72602,-0.02834,-7
-0.74756,-0.074756,-6
-0.75756,-0.17476,-5
-0.7622,-0.3902,-4
-0.76436,-0.85436,-3
-0.76536,-1.8544,-2
-0.7796,-0.016796,-7
-0.80115,-0.063212,-6
-0.81115,-0.16321,-5
-0.81579,-0.37866,-4
-0.81794,-0.84281,-3
-0.81894,-1.8428,-2
-0.82602,-0.03834,-6
-0.83602,-0.13834,-5
-0.84066,-0.35378,-4
-0.84281,-0.81794,-3
-0.84381,-1.8179,-2
-0.84756,-0.084756,-5
-0.8522,-0.3002,-4
-0.85436,-0.76436,-3
-0.85536,-1.7644,-2
-0.85756,-0.18476,-4
-0.85972,-0.64892,-3
-0.86072,-1.6489,-2
-0.8622,-0.4002,-3
-0.8632,-1.4002,-2
-0.86436,-0.86436,-2
-0.86536,-1.8644,-1
-1,-0.001,-9
-1.2154,-0.0056416,-8
-1.3154,-0.015642,-7
-1.3619,-0.037186,-6
-1.3834,-0.083602,-5
-1.3934,-0.1836,-4
-1.398,-0.39905,-3
-1.4002,-0.8632,-2
-1.4012,-1.8632,-1
-1.4642,-0.0031544,-8
-1.5642,-0.013154,-7
-1.6106,-0.034699,-6
-1.6321,-0.081115,-5
-1.6421,-0.18111,-4
-1.6468,-0.39656,-3
-1.6489,-0.86072,-2
-1.6499,-1.8607,-1
-1.6796,-0.007796,-7
-1.726,-0.02934,-6
-1.7476,-0.075756,-5
-1.7576,-0.17576,-4
-1.7622,-0.3912,-3
-1.7644,-0.85536,-2
-1.7654,-1.8554,-1
-1.7796,-0.017796,-6
-1.8011,-0.064212,-5
-1.8111,-0.16421,-4
-1.8158,-0.37966,-3
-1.8179,-0.84381,-2
-1.8189,-1.8438,-1
-1.826,-0.03934,-5
-1.836,-0.13934,-4
-1.8407,-0.35478,-3
-1.8428,-0.81894,-2
-1.8438,-1.8189,-1
-1.8476,-0.085756,-4
-1.8522,-0.3012,-3
-1.8544,-0.76536,-2
-1.8554,-1.7654,-1
-1.8576,-0.18576,-3
-1.8597,-0.64992,-2
-1.8607,-1.6499,-1
-1.8622,-0.4012,-2
-1.8632,-1.4012,-1
-1.8644,-0.86536,-1
-1.8654,-1.8654,-0
